var,fixed,val,low,up
v01, 0, 56, 45, 67
v02, 0, -16, -26, -6
v03, 0, -132, -142, -122
b1, 1, 17.8, 15.8, 18.8
b2, 1, 19.2, 17.2, 21.2
b3, 1, 14.2, 10.2, 18.2  
