var,fixed,val,low,up
v01, 0, -37, -47, -27
v02, 0, 0, -10, 10 
v03, 0, 33, 23, 43
b1, 1, 15.0, 11.65, 25.0
b2, 1, 15.0, 11.65, 25.0
b3, 1, 15.0, 11.65, 25.0
