element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 21.70, 21.60, 21.80, 20., 0.0, 150.0, 0.0, -150, 150
NV, 0, 15.00, 0.00, 25.00, 30, 20, 80, 0.0, -150, 150
