element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 21.85, 21.65, 22.05, 40.0, 0.0, 100.0, 0.0, -250, 250
FeII, 1, 15.84, 15.60, 15.98, 27.4, 25.2, 29.6, -0.22, -1, 1
FeIIa, 1, 13.70, 0, 0, 28.4, 0, 0, 0, 0, 0 
NiIIb, 1, 13.88, 0, 0, 28.4, 0, 0, 0, 0, 0
