element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 21.20, 21.00, 21.40, 20., 0.0, 40.0, 0.0, -100, 100
FeII, 0, 14.73, 14.62, 14.84, 20., 0.0, 20.0, 0.0, -100, 100
SiII, 0, 15.15, 14.90, 15.40, 20., 0.0, 20.0, 0.0, -100, 100
SiIV, 0, 14.13, 13.97, 14.29, 20., 0.0, 20.0, 0.0, -100, 100
OI, 0, 16.9, 16.4, 17.4, 20., 0.0, 20.0, 0.0, -100, 100
