var,fixed,val,low,up
v01, 0, 22, 18, 26
v02, 0, -28, -32, -24
v03, 0, -100, -105, -95
b1, 1, 12, 11, 13
b2, 1, 18, 14, 22
b3, 1, 14, 10, 18
