var,fixed,val,low,up
v01, 0, -205, -230, -190
v02, 0, -140, -190, -110
v03, 0, 100, 70, 130
v04, 0, 180, 150, 200
v05, 0, 230, 180, 260
b1, 1, 26, 25, 27
b2, 1, 21, 20, 22
b3, 1, 20, 19, 21
b4, 1, 22, 21, 23
b5, 1, 35, 34, 36
