element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 20.96, 20.91, 21.01, 10.0, 0.0, 100.0, 0.0, -100, 100
ArI, 1, 13.29, 0, 0, 29.45, 0, 0, -7.628, 0, 0
ArI2.709807, 1, 13.0, 0, 0, 29.45, 0, 0, -7.628, 0, 0
ArI2.708428, 1, 0.0, 0, 0, 29.45, 0, 0, -7.628, 0, 0
FeII, 1, 14.55, 14.53, 14.57, 15.60, 15.34, 15.86, 0.0, 0.0, 0.0
SiII, 1, 15.01, 14.96, 15.07, 15.60, 15.34, 15.86, 0.0, 0.0, 0.0
FeII2.709807, 1, 14.16, 0, 0, 17.84, 0, 0, 0.0, 0.0, 0.0
SiII2.709807, 1, 14.68, 0, 0, 17.84, 0, 0, 0.0, 0.0, 0.0
FeII2.708428, 1, 13.46, 0, 0, 16.60, 0, 0, 0.0, 0.0, 0.0
SiII2.708428, 1, 14.36, 0, 0, 16.60, 0, 0, 0.0, 0.0, 0.0
