element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 21.7, 21.5, 21.9, 20., 0.0, 40.0, 0.0, -10, 10
SiII, 0, 16.15, 16.08, 16.22, 20., 0.0, 40.0, 0.0, -10, 10
FeII, 0, 15.75, 15.69, 15.82, 20., 0.0, 40.0, 0.0, -10, 10
NiII, 0, 14.40, 14.33, 14.47, 20., 0.0, 40.0, 0.0, -10, 10
ZnII, 0, 13.70, 13.45, 13.95, 20., 0.0, 40.0, 0.0, -10, 10
