Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.00059707136, 0.0108871312255, 0.000729871841332, 0.980424089816, 1.01735491597, 0.980924266805, 0.99120651583, 1.00096650751, 1.00907096953, 1.01873474932
sigma1, 13.9752359615, 2.04784194307, 0.135087827526, 10.1677965567, 17.8420834998, 10.5180451214, 12.4974554311, 14.0063378504, 15.0954181061, 18.7016520206
v01, -137.011643706, 2.57755465324, 0.161294938904, -141.694462846, -132.231594928, -141.533098388, -138.975462363, -136.843727223, -135.552991258, -131.689251673
A1, 20.2102792949, 2.50035788614, 0.143209521155, 15.8524449063, 25.826309795, 15.3009769275, 18.5391721906, 20.115617565, 21.6851611815, 25.5788601615
sigma2, 15.8031973959, 0.551161029862, 0.0343788804483, 14.6899205217, 16.7450672785, 14.7440050016, 15.4177678493, 15.7748694307, 16.1929676973, 16.88109293
v02, 50.9880543865, 0.565603284348, 0.0362045577041, 49.8661464123, 52.0435141712, 49.8858508209, 50.6642083916, 50.9723235507, 51.3624899297, 52.0938733544
A2, 145.930266492, 5.01299673255, 0.320811784104, 136.525926979, 155.694267122, 137.24765106, 142.315855208, 145.753443501, 149.397491003, 156.766856696
sigma3, 15.5002877565, 0.690207722472, 0.0484166984348, 14.1807015035, 16.7533201584, 14.2897519287, 14.9909877996, 15.4269429025, 15.9309546168, 16.9423322284
v03, -22.8875752905, 0.743933209295, 0.0400588269579, -24.1612059285, -21.2327888482, -24.2729285176, -23.357499642, -22.9365704333, -22.4053205214, -21.2461245524
A3, 85.6951145506, 3.49575843601, 0.212263733079, 78.8706306167, 91.9802498693, 78.8706306167, 83.2225908544, 85.5418280775, 88.2513806648, 92.0471341447
Osc, 0.05399224
GAMMA, 243400000.0
