Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.06464077676, 0.0298717848543, 0.00201485726186, 1.01269505519, 1.12109490799, 1.01269505519, 1.04125512866, 1.0657624209, 1.08586109216, 1.12155739977
v01, 21.7099189586, 6.68365105665, 0.433084817945, 8.59435922741, 35.199064586, 8.61404984685, 17.3525942636, 21.6622630346, 26.2382187022, 35.558590626
b1, 36.2550947257, 4.66071052738, 0.391958111037, 25.2473797648, 43.64510897, 25.2776699676, 33.2882970222, 36.3642478777, 39.6906874731, 44.5511261265
N1, 16.6208069951, 0.320975778724, 0.0264883150021, 16.1291408124, 17.2729597788, 16.1627344426, 16.3933624697, 16.5558061987, 16.8094091287, 17.4299428275
Osc, 0.00208
GAMMA, 2380000.0
