Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 5.96862343679e-17, 8.25086648438e-19, 5.35493108929e-20, 5.81375954559e-17, 6.13812388621e-17, 5.8138759334e-17, 5.91083826181e-17, 5.96797233292e-17, 6.02037997501e-17, 6.14164276519e-17
a1, 1.10826714235e-21, 1.62359820508e-21, 1.58722284201e-22, 0.0, 3.88691441301e-21, 0.0, 0.0, 0.0, 2.69307629098e-21, 3.95640693303e-21
v01, -12.173899487, 2.09440426101, 0.119955956524, -15.850828052, -7.87595754601, -16.3012068254, -13.6093316289, -12.2015393607, -10.7658992247, -8.14032932253
b1, 31.7139512871, 7.61261280997, 0.748065273547, 23.1763684473, 47.2803604919, 23.226266034, 26.0291207333, 28.3340449437, 37.52597673, 47.5722349652
N1, 15.8076756363, 0.573559133973, 0.0564231430823, 14.8183834686, 16.495331129, 14.8183834686, 15.1976005707, 16.0221301178, 16.3003227325, 16.5124244474
v02, -160.552880462, 7.6751295593, 0.504387557192, -173.344076895, -144.441097922, -172.959898034, -165.554448197, -161.238144715, -156.429637948, -142.155879692
b2, 49.6180894841, 13.2502061718, 0.943428205322, 25.3361417491, 76.976624815, 28.4500079821, 40.1959489785, 47.7921985415, 56.8512011056, 81.7987561507
N2, 13.709323717, 0.0781646719415, 0.00582144794338, 13.5407246017, 13.8571466475, 13.5536094692, 13.6618668309, 13.7096811411, 13.7594691339, 13.8724778081
Osc, 0.254
GAMMA, 862000000.0
