Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.00859663669, 0.00814268621954, 0.000273481776918, 0.993146101381, 1.01999295885, 0.990064728017, 1.00349315669, 1.01004363026, 1.01516490014, 1.01948355799
sigma1, 57.8067076024, 21.9820429224, 1.68804839201, 1.65722994764, 79.9001882139, 0.682013059168, 49.685077982, 66.0826870483, 73.9095577815, 79.4649991977
v01, -197.503103426, 219.091521627, 20.8703208543, -399.97015985, 188.215187725, -399.518027136, -393.76965545, -366.789236024, -22.5631360113, 318.217618291
A1, -63.1402085291, 57.9204435545, 4.07536282503, -110.613711275, -0.0325139676762, -195.864976564, -79.7955817732, -61.5443906755, -31.5684895314, -1.56852782456
sigma2, 53.8370711952, 24.356861619, 1.8677915483, 0.0335079739633, 78.4688621014, 0.381890133666, 40.1589318951, 63.167023904, 73.2853027803, 79.1927554605
v02, -176.564962735, 227.396985166, 20.5639763705, -399.995794098, 285.395585149, -399.73253228, -393.702755826, -214.02228089, -8.26972904955, 319.843413325
A2, -56.2959157381, 57.7153861204, 3.7064603234, -110.941074318, -0.19349494491, -192.603161116, -79.1974801912, -53.8806436516, -13.7925303208, -0.90408209911
sigma3, 54.251520829, 18.6148265563, 0.986900660745, 13.0063653511, 79.9954437909, 1.5643080783, 45.1942467837, 57.7613557684, 68.0465147026, 79.0399692015
v03, -57.9374633464, 121.690709427, 9.3126132708, -399.51284218, 54.6767532465, -394.704138761, -62.1581431586, -34.5163095468, -10.4918457489, 150.389597535
A3, -47.3901293378, 31.9646188292, 1.79552272543, -86.2009046342, -0.0801327485878, -93.390933412, -64.0245501684, -48.0639369831, -27.8122570435, -2.10975956893
Osc, 0.153
GAMMA, 508800000.0
