Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.01708771097, 0.00423984267763, 0.00014605076189, 1.00854420551, 1.02461401163, 1.00897077822, 1.01410827238, 1.01699396969, 1.02012689185, 1.0251268354
v01, 20.0361703035, 0.605247085228, 0.0187483747373, 18.7103638474, 21.1278785169, 18.7848798522, 19.6214330417, 20.0300782506, 20.4606834412, 21.2609084534
b1, 13.9780590485, 0.8807501508, 0.0345775979548, 12.1801287289, 15.6423626333, 12.1801287289, 13.3811384884, 13.996322563, 14.5674622087, 15.6480919114
N1, 14.2337154909, 0.0187704799772, 0.00083883085152, 14.1956556213, 14.2687031956, 14.1972795847, 14.2216684991, 14.2329798248, 14.2456054074, 14.2720873597
Osc, 0.03296636
GAMMA, 329400000.0
