Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 0.939135684749, 0.0243930025039, 0.00243930025039, 0.888616629329, 0.996291680641, 0.888616629329, 0.928994702586, 0.932213486163, 0.946589101482, 1.0
v01, -17.4036456578, 4.6974017036, 0.46974017036, -24.8933985892, -10.2643935269, -24.8933985892, -19.988315254, -17.6071214394, -13.6960639569, -5.33164607706
b1, 23.6716456955, 6.11086040442, 0.611086040442, 10.9891358068, 30.5694585658, 10.2503223061, 21.5314916574, 26.1822194794, 28.1247929427, 30.5694585658
N1, 15.3700619423, 0.271551225946, 0.0271551225946, 15.0, 15.5693260651, 15.0, 15.0, 15.5693260651, 15.5693260651, 15.5693260651
Osc, 0.00135754
GAMMA, 279000000.0
