Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.0161080781, 0.00665574389298, 0.000244206458801, 1.0026148912, 1.02881454838, 1.00269690783, 1.01161133035, 1.01619774487, 1.02049233239, 1.02933101875
v01, 24.9436762493, 0.847579041539, 0.0390043589354, 23.209135593, 25.9978977848, 22.8978986342, 24.482024197, 25.1276116474, 25.6226998996, 25.9513896639
b1, 11.9321019794, 0.558192463677, 0.0213282745913, 11.1030794869, 12.9465986029, 11.0689821609, 11.4392623886, 11.893730788, 12.4060479101, 12.9254817901
N1, 15.3159963035, 0.0535497203757, 0.00196883974323, 15.2234313217, 15.4259858528, 15.2039503932, 15.2797448975, 15.3221055377, 15.354472269, 15.4132497394
Osc, 0.00208
GAMMA, 2380000.0
