Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 4.55535628792e-17, 1.61097247555e-18, 1.01684988371e-19, 4.23832835608e-17, 4.85229870414e-17, 4.25255711822e-17, 4.4460028746e-17, 4.54835710758e-17, 4.66384614348e-17, 4.88120408982e-17
a1, 2.26031706932e-20, 1.01175432438e-20, 5.97326912454e-22, 3.87580876744e-21, 4.21980366895e-20, 2.17235976754e-21, 1.65903647277e-20, 2.29271807706e-20, 2.93363155138e-20, 4.13637374658e-20
a2, 1.4279245079e-22, 4.37509787834e-23, 2.9212365214e-24, 5.82501556922e-23, 2.28151710123e-22, 5.63253071177e-23, 1.15045677324e-22, 1.39970456925e-22, 1.72967150444e-22, 2.28151710123e-22
v01, -7.53734297261, 4.25996881753, 0.115119874567, -15.4282508072, 0.832575824497, -15.3625763532, -10.3709630245, -7.80838794843, -4.83531610093, 1.12488333252
b1, 12.0564139257, 2.57174560024, 0.0956778812684, 7.48031361557, 15.9434559007, 7.17187744475, 10.1211525359, 12.3893179476, 14.2886054528, 15.8210025277
N1, 13.3802294735, 0.146449844132, 0.00698001260346, 13.0847608033, 13.6226174494, 13.067864989, 13.3002616113, 13.3945421336, 13.4775965526, 13.6151271355
v02, 64.0068111885, 1.94359989444, 0.0751833871637, 60.5551668871, 68.0854331963, 60.2150817763, 62.6986817625, 63.902353964, 65.3579691999, 67.9695061241
b2, 11.6418729947, 2.49432709922, 0.113454725139, 7.59337352516, 15.9688338567, 7.14385007124, 9.64467617261, 11.6705593719, 13.6747938231, 15.7962247795
N2, 13.8058710349, 0.111198145122, 0.00489315248513, 13.6178659172, 14.0354624969, 13.625954973, 13.7377518686, 13.7934105028, 13.85708633, 14.0670512432
Osc, 0.103
GAMMA, 407000000.0
