Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 0.990311093159, 0.00448994034232, 0.0003962454491, 0.982658886334, 0.999605613837, 0.981805517046, 0.987398765875, 0.989983005581, 0.993516693857, 0.999293923115
sigma1, 20.7319680085, 1.15064296431, 0.0747191998333, 18.5011721821, 23.0048888438, 18.5011721821, 19.96542861, 20.6755943003, 21.4505593839, 23.1219593774
v01, -277.119417852, 1.48605299292, 0.0895082682283, -280.549209435, -274.868259194, -280.287318607, -278.004501214, -277.100779442, -275.930437725, -274.463640634
A1, -47.986312076, 2.76445624787, 0.210590581145, -53.2055465461, -42.5989618519, -53.2055465461, -49.950573406, -47.9093548338, -46.1421217183, -42.5989618519
sigma2, 44.6972928503, 2.1690530824, 0.136895737216, 40.5327356707, 48.5294641171, 40.8368227281, 43.1732916568, 44.5394100018, 46.0938131227, 49.2258827476
v02, 303.985507753, 2.12471306376, 0.110117251566, 299.886178596, 308.181582877, 299.661581905, 302.690714598, 303.97371307, 305.50314058, 308.03623358
A2, -89.52125379, 5.26696402589, 0.434279186864, -99.4369308409, -79.7912205637, -100.512619896, -93.1349528611, -89.1866071715, -85.5223695111, -80.1836723078
sigma3, 77.9264739646, 1.1584792685, 0.0786813601174, 75.8699366471, 79.8396842825, 75.5534668045, 77.0734473118, 78.0083826644, 78.9021921682, 79.7786380601
v03, -95.7165678705, 1.19852236306, 0.0621798611189, -97.9742403822, -93.2632082834, -98.2140375755, -96.4670013113, -95.6690577666, -94.9672330587, -93.4493258167
A3, -372.113500947, 6.96787215195, 0.584682558976, -386.242318168, -359.676091493, -386.242318168, -376.811719055, -371.588980554, -367.198739295, -359.676091493
Osc, 0.00208
GAMMA, 2380000.0
