Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 0.986096868208, 0.0120517026535, 0.000482482595752, 0.96158544399, 1.00785598825, 0.962951350075, 0.977689894032, 0.986494013999, 0.993905314567, 1.00999137909
v01, -22.5886272433, 1.92689879277, 0.075640278762, -26.4299622167, -18.8110448513, -26.326886759, -23.837779791, -22.6117427779, -21.4429817031, -18.3793042812
b1, 18.5199456711, 3.99692316923, 0.173488502666, 11.4547970947, 27.5141707498, 10.5340384817, 15.9285630749, 18.4077877326, 21.1691191206, 27.2770089459
N1, 15.7483689348, 0.0487410457065, 0.00198428982374, 15.6441670557, 15.8380965544, 15.6492043127, 15.7179172978, 15.7499007637, 15.7787547916, 15.845945046
v02, 31.9737809385, 1.70900915665, 0.0730357183163, 28.626275829, 35.2601966752, 28.5873162277, 30.8540230273, 32.0145851954, 33.1022252276, 35.225195031
b2, 8.19947833922, 2.28632106034, 0.132133801466, 5.62751620362, 12.8562253578, 5.70682090183, 6.33966731051, 7.51671020539, 9.39247400587, 14.0381607621
N2, 15.8116451811, 0.148802192704, 0.00872865581252, 15.5855824818, 16.1207434186, 15.5961490536, 15.6994500544, 15.7836725154, 15.9055101357, 16.1709063811
Osc, 0.00135754
GAMMA, 279000000.0
