Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 0.990006665331, 0.00428446090266, 0.00033447325529, 0.982381904392, 0.998241451228, 0.982381904392, 0.986819069853, 0.989619752751, 0.992986402385, 0.998555249724
sigma1, 7.53647167324, 1.66893764066, 0.11389033037, 4.90332775715, 11.1500406058, 5.02422276873, 6.43546653714, 7.27980322644, 8.44211492193, 11.5477932784
v01, -427.983790748, 1.742877062, 0.109547264731, -431.518773727, -424.97572373, -432.038746734, -428.844289834, -427.845282711, -426.850988465, -425.133336755
A1, -10.5985924028, 1.94632142797, 0.140227779474, -14.2535549838, -7.09405060267, -14.8381974661, -11.9015182366, -10.6705687026, -9.31205831392, -7.2531992087
sigma2, 12.1703257444, 0.58641014581, 0.0465525761509, 11.1461689853, 13.3544998224, 11.095016973, 11.7630852349, 12.1692863325, 12.5312863894, 13.3255888723
v02, -84.9727454389, 0.533057974299, 0.0295143088389, -85.9997413235, -83.9244753588, -86.1463688184, -85.3003968685, -84.9382634641, -84.6181515655, -83.9688429443
A2, -50.1367509557, 3.61000187547, 0.327007513991, -56.7217496499, -43.2645496626, -56.7855610348, -52.6490334803, -50.0279913049, -47.7863891146, -43.2645496626
sigma3, 51.3718736232, 2.15546877211, 0.175095887507, 47.5168017786, 55.4806391966, 47.6672976733, 49.8360336761, 51.1335843956, 52.8588238788, 55.9884019873
v03, -45.8206158202, 2.42041451915, 0.200891590781, -50.9719745476, -41.353692471, -50.8648147011, -47.3582769763, -45.9977192288, -44.1320996694, -41.0863219291
A3, -176.97447574, 7.55286879901, 0.656786068538, -190.743882141, -163.254079362, -192.873699906, -182.59093201, -176.449174219, -171.25865209, -163.909887098
sigma4, 23.7758229973, 2.68049808906, 0.226706707013, 19.3056116615, 29.9693059661, 18.9097624124, 21.964251562, 23.409523019, 25.3529438019, 29.8270141407
v04, 339.555282533, 2.71183407656, 0.208065192844, 334.03160224, 344.754550258, 333.637975916, 337.954863973, 339.596103048, 341.366498358, 344.536970978
A4, -44.3576532183, 4.43534507835, 0.359632238028, -53.7801198937, -36.2375912776, -53.8070256342, -47.151207102, -44.1020572041, -41.352831739, -36.2375912776
sigma5, 10.0644611768, 2.10865399182, 0.185340392052, 5.9684335152, 14.0144291048, 6.14261594183, 8.50887775348, 10.0400999841, 11.6410839613, 14.5828163686
v05, -257.438241306, 1.6178700307, 0.113842677049, -260.655241856, -254.379819256, -260.87728458, -258.400293647, -257.416572246, -256.371256399, -254.454342846
A5, -18.8728123327, 7.00118500569, 0.678705585361, -30.5628838868, -7.56674915314, -31.9285090988, -24.2213990512, -18.7634726594, -12.3408562014, -8.15769013707
sigma6, 21.1667130076, 0.585767552507, 0.0397273073587, 20.0891046897, 22.2923106714, 19.9764959256, 20.7593039105, 21.1587021571, 21.5779919396, 22.2294042939
v06, -162.898239989, 0.675051954194, 0.0416522726811, -164.291716947, -161.594944052, -164.145521235, -163.341489747, -162.864559192, -162.472361211, -161.396681117
A6, -106.596846449, 3.51820711058, 0.28252329558, -112.987850604, -99.4557199984, -113.952885822, -109.022213904, -106.402211964, -104.237177348, -100.005644624
sigma7, 21.4151680424, 2.47892749756, 0.208255589096, 16.9653125861, 26.0915780688, 16.5626563465, 19.7174274264, 21.5665552792, 23.1757762308, 25.9066197182
v07, -284.520677566, 4.49017718691, 0.423823696225, -291.927842986, -276.67152769, -293.302943938, -287.711860849, -284.603349425, -280.670090856, -277.129310907
A7, -44.1648449943, 7.7774027991, 0.73314280647, -57.9608355597, -29.8284208165, -57.4373690023, -50.458693316, -44.6018897392, -38.2002946012, -29.1235204112
sigma8, 14.2855191098, 1.42169319989, 0.114989881053, 11.7926471421, 17.6051854884, 11.5679154447, 13.4128478443, 14.155607768, 15.1271882505, 17.5407177495
v08, 276.499856122, 1.2015307154, 0.0865381796779, 274.259962951, 278.757121403, 274.334080007, 275.668622177, 276.452501685, 277.363540943, 278.85676741
A8, -39.4978754216, 3.62747261348, 0.310799125941, -46.8177272692, -33.1603466698, -46.3341845245, -41.6506293217, -39.4678623635, -37.3073789376, -31.6813786555
Osc, 0.00208
GAMMA, 2380000.0
