Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 0.993846817502, 0.00851214472281, 0.000293847058443, 0.980004949494, 1.0096819159, 0.980961380856, 0.986918048437, 0.992742372747, 0.999779033874, 1.01255951981
sigma1, 61.7275060191, 13.6047488814, 0.74271612069, 37.2046187843, 79.9603909068, 31.1789886506, 53.3410803631, 64.3349866005, 72.6126131987, 79.3954641788
v01, -160.04791992, 173.843468923, 16.5705880664, -399.838127807, 4.00611022974, -399.632729561, -386.05475431, -47.2724306767, -23.834289723, 14.4707051015
A1, -56.3628188823, 18.7302771032, 1.04915110377, -93.1208618321, -21.3698089208, -94.1348972984, -69.4914380878, -56.1141639213, -43.7033028063, -21.7551257871
Osc, 0.153
GAMMA, 508800000.0
