Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.11570408431, 0.0350100580316, 0.00242602321285, 1.04809100829, 1.18258056584, 1.04535685409, 1.09735093869, 1.11607297246, 1.1398485437, 1.18072388207
v01, 11.5435660516, 6.48851161208, 0.403410852328, -0.688699632185, 24.11012467, -1.154943202, 7.17331999097, 11.2881271745, 16.5084693796, 23.7155740879
b1, 35.6853460198, 4.0880786159, 0.322948746686, 28.2444593782, 43.5592440898, 27.8806596797, 32.886813979, 35.4323394808, 38.8547351073, 43.5592440898
N1, 14.7950219333, 0.345659399911, 0.0286456139459, 14.1539052434, 15.4509049917, 14.2333535841, 14.5631812454, 14.7512624659, 14.9487512021, 15.615971472
Osc, 0.268
GAMMA, 536100000.0
