Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a, 1.05526337412, 0.00812368260497, 0.000621942581025, 1.04024555823, 1.0713271723, 1.04024555823, 1.04961781265, 1.05499401925, 1.0605884136, 1.07159614519
v01, -208.502918339, 1.86406700508, 0.126061047845, -212.255591129, -205.071112877, -211.896451389, -209.840643806, -208.609779596, -207.292498241, -204.454934963
b1, 34.6101004589, 2.65511278357, 0.180932811034, 29.0199356052, 39.3822157337, 29.5832840388, 32.8069848188, 34.4527982754, 36.2394070474, 40.5359992596
N1, 13.2112528149, 0.0264031040694, 0.00187081462022, 13.155723165, 13.2580682696, 13.1571433504, 13.1939808908, 13.211878219, 13.2283403905, 13.2631952091
v02, 162.079871818, 3.69216528086, 0.183468751395, 154.022854231, 168.74178885, 154.022854231, 159.813059442, 162.268757161, 164.548901751, 168.785224056
b2, 76.5286574935, 10.5713669731, 0.88273982115, 59.4893658569, 96.9799258821, 60.3394648576, 68.3741111907, 74.5677881869, 84.2845001388, 98.4031337819
N2, 13.32367379, 0.0364777451898, 0.00257905788425, 13.2468762488, 13.389474266, 13.2437851472, 13.3008761865, 13.3274813247, 13.3477986765, 13.389474266
v03, -138.515085851, 1.42321736425, 0.0927371421966, -141.275558214, -135.882025077, -141.206496796, -139.426809662, -138.541583725, -137.556294469, -135.723272253
b3, 22.391830339, 2.3565079247, 0.155845840194, 18.3278476841, 27.3506228173, 18.4076719902, 20.6959372914, 22.2076594035, 23.8745041257, 27.5810067778
N3, 13.0950741053, 0.0310283004029, 0.00220592515841, 13.0355164806, 13.1581098487, 13.028572236, 13.0762546233, 13.0974545411, 13.1152209093, 13.1553371602
v04, -353.062564442, 5.84590493483, 0.209622172874, -364.316421184, -341.814363507, -365.311121907, -356.689254417, -352.838264237, -349.100267913, -342.147313179
b4, 26.2351840637, 10.4328620674, 0.551105400303, 5.09534566026, 43.1240677329, 6.45260675704, 19.2296091948, 26.7589999556, 33.5564420398, 46.5355751595
N4, 12.2980594767, 0.136444686224, 0.00887668413952, 12.0410843463, 12.5325293041, 11.999761515, 12.2167320063, 12.3126791271, 12.3884250207, 12.52978414
v05, 173.542023711, 1.21827320828, 0.0547708695238, 171.310341542, 175.914200591, 171.049609492, 172.691504074, 173.596439155, 174.405612784, 175.867974754
b5, 13.9232735166, 4.36013046209, 0.348324350383, 5.63818341403, 21.808710309, 5.93354943441, 10.7857711383, 13.8642666738, 16.8228850044, 23.5017729141
N5, 13.0019075646, 0.0717323573382, 0.00525487637908, 12.8778337498, 13.1632689842, 12.8541535808, 12.955232932, 13.00372306, 13.0500529075, 13.143717736
Osc, 0.361
GAMMA, 282000000.0
