# Transmission through ionization/dissociation front produced by UV and 
# X-rays from a GRB.  Spectrum calculated by B.T. Draine
# References:
# Draine, B.T. 2000: Gamma Ray Bursts in Molecular Clouds: H2 Absorption
#     and Fluorescence, ApJ 532, 273
# Draine, B.T., & Hao, L. 2002, Gamma Ray Burst in a Molecular Cloud:
#     Destruction of Dust and H2, and Emergent Spectrum, ApJ 569, 780
# 
#  1.000E+03 = n_H (cm-3)
#     -0.500 = beta ( L_nu propto nu^{beta} )
#  2.500E-01 = L_0/(1e49 erg s-1)
#  1.000E+01 = t_0 (s)
# N(H), N(H2+), and N(H2_vJ) from h2abs_nvj.dat                                   
#       2130 H2 absorption lines from 299 levels of H2
#     222969 = NWAV = number of wavelengths
#       2771 = 2*KKMAX+1 points in smoothing kernel
#      260.0 = lambda/FWHM(lambda) in final spectrum
#   2130 lines with W_lambda/lambda >  5.000E-05
#   0.5574 = sum(W_lambda/lambda) for lines in list (including H Lyman series)
#   0.7320                        for all 28779 lines
#   lambda   W_lambda/ W_lambda
#    (A)       lambda    (A)      tau_0      transition
#  --------- --------- ------- --------- --------------------
  1576.884 0.0000687  0.1083 3.844E+02 H2 Lyman  0- 8 R( 1)
  1576.390 0.0000608  0.0959 3.229E+02 H2 Lyman  7-13 R( 2)
  1575.746 0.0000569  0.0896 2.323E+02 H2 Lyman  7-13 R( 3)
  1574.326 0.0000652  0.1026 3.510E+02 H2 Lyman  2- 9 P( 2)
  1571.978 0.0001064  0.1673 1.685E+03 H2 Lyman  2- 9 P( 1)
  1571.358 0.0000666  0.1046 3.853E+02 H2 Lyman  2- 9 R( 3)
  1570.003 0.0000730  0.1147 5.435E+02 H2 Lyman  2- 9 R( 2)
  1569.491 0.0000937  0.1470 1.188E+03 H2 Lyman  2- 9 R( 0)
  1569.375 0.0001413  0.2218 3.432E+03 H2 Lyman  2- 9 R( 1)
  1567.406 0.0000521  0.0817 1.478E+02 H2 Lyman  8-14 P( 1)
  1565.344 0.0000592  0.0926 2.944E+02 H2 Lyman  8-14 R( 1)
  1558.813 0.0000527  0.0821 1.401E+02 H2 Lyman  4-10 R( 1)
  1553.439 0.0000577  0.0896 1.980E+02 H2 Lyman  1- 8 P( 3)
  1551.616 0.0000565  0.0877 2.266E+02 H2 Lyman  7-12 R( 1)
  1550.089 0.0000627  0.0972 2.878E+02 H2 Lyman  1- 8 P( 2)
  1547.540 0.0001098  0.1699 1.745E+03 H2 Lyman  1- 8 P( 1)
  1547.334 0.0000629  0.0973 2.933E+02 H2 Lyman  1- 8 R( 3)
  1547.069 0.0000501  0.0775 1.018E+02 H2 Lyman  3- 9 P( 3)
  1546.722 0.0000545  0.0844 1.811E+02 H2 Lyman  6-11 P( 1)
  1545.704 0.0000708  0.1095 4.660E+02 H2 Lyman  1- 8 R( 2)
  1544.936 0.0001032  0.1594 1.485E+03 H2 Lyman  1- 8 R( 0)
  1544.900 0.0001481  0.2288 3.653E+03 H2 Lyman  1- 8 R( 1)
  1544.826 0.0000510  0.0788 1.240E+02 H2 Lyman  6-11 R( 2)
  1544.569 0.0000627  0.0969 3.617E+02 H2 Lyman  6-11 R( 1)
  1544.064 0.0000515  0.0795 1.194E+02 H2 Lyman  3- 9 P( 2)
  1541.771 0.0000714  0.1100 5.319E+02 H2 Lyman  3- 9 P( 1)
  1540.075 0.0000527  0.0812 1.372E+02 H2 Lyman  3- 9 R( 2)
  1539.413 0.0000632  0.0973 3.302E+02 H2 Lyman  3- 9 R( 0)
  1539.370 0.0000834  0.1284 9.047E+02 H2 Lyman  3- 9 R( 1)
  1532.936 0.0000609  0.0934 3.054E+02 H2 Lyman  5-10 P( 1)
  1531.277 0.0000533  0.0816 1.559E+02 H2 Lyman  5-10 R( 2)
  1530.831 0.0000538  0.0824 1.645E+02 H2 Lyman  5-10 R( 0)
  1530.740 0.0000725  0.1110 6.262E+02 H2 Lyman  5-10 R( 1)
  1525.161 0.0000532  0.0812 1.282E+02 H2 Lyman  0- 7 P( 3)
  1523.223 0.0000579  0.0883 2.146E+02 H2 Lyman  2- 8 P( 3)
  1521.594 0.0000578  0.0879 1.919E+02 H2 Lyman  0- 7 P( 2)
  1519.926 0.0000624  0.0949 3.012E+02 H2 Lyman  2- 8 P( 2)
  1518.980 0.0000584  0.0886 2.032E+02 H2 Lyman  0- 7 R( 3)
  1518.901 0.0000916  0.1391 1.013E+03 H2 Lyman  0- 7 P( 1)
  1517.608 0.0000597  0.0906 2.492E+02 H2 Lyman  2- 8 R( 3)
  1517.437 0.0001069  0.1622 1.762E+03 H2 Lyman  2- 8 P( 1)
  1517.153 0.0000652  0.0989 3.254E+02 H2 Lyman  0- 7 R( 2)
  1516.226 0.0001220  0.1850 2.184E+03 H2 Lyman  0- 7 R( 1)
  1516.205 0.0000849  0.1287 8.107E+02 H2 Lyman  0- 7 R( 0)
  1515.896 0.0000672  0.1018 4.093E+02 H2 Lyman  2- 8 R( 2)
  1515.012 0.0001373  0.2081 3.318E+03 H2 Lyman  2- 8 R( 1)
  1514.971 0.0000980  0.1485 1.396E+03 H2 Lyman  2- 8 R( 0)
  1513.511 0.0000516  0.0780 1.265E+02 H2 Lyman  4- 9 R( 3)
  1513.468 0.0000693  0.1049 5.086E+02 H2 Lyman  4- 9 P( 1)
  1512.011 0.0000549  0.0829 1.778E+02 H2 Lyman  4- 9 R( 2)
  1511.244 0.0000871  0.1317 1.111E+03 H2 Lyman  4- 9 R( 1)
  1511.226 0.0000644  0.0973 3.778E+02 H2 Lyman  4- 9 R( 0)
  1495.221 0.0000712  0.1065 4.882E+02 H2 Lyman  1- 7 P( 3)
  1493.833 0.0000508  0.0759 1.394E+02 H2 Lyman 11-14 R( 1)
  1491.708 0.0000797  0.1189 7.175E+02 H2 Lyman  1- 7 P( 2)
  1489.564 0.0000772  0.1150 6.547E+02 H2 Lyman  1- 7 R( 3)
  1489.271 0.0000572  0.0852 2.132E+02 H2 Lyman  3- 8 P( 1)
  1489.076 0.0001473  0.2194 3.727E+03 H2 Lyman  1- 7 P( 1)
  1487.647 0.0000908  0.1351 1.081E+03 H2 Lyman  1- 7 R( 2)
  1487.031 0.0000717  0.1066 5.582E+02 H2 Lyman  3- 8 R( 1)
  1486.928 0.0000571  0.0849 2.120E+02 H2 Lyman  3- 8 R( 0)
  1486.632 0.0002003  0.2977 7.477E+03 H2 Lyman  1- 7 R( 1)
  1486.528 0.0001317  0.1958 2.863E+03 H2 Lyman  1- 7 R( 0)
  1481.541 0.0000501  0.0742 1.161E+02 H2 Lyman  7-10 P( 1)
  1479.641 0.0000548  0.0811 1.976E+02 H2 Lyman  7-10 R( 1)
  1479.285 0.0000514  0.0760 1.467E+02 H2 Lyman 10-12 R( 1)
  1470.893 0.0000534  0.0785 1.809E+02 H2 Lyman  9-11 R( 1)
  1463.833 0.0000707  0.1034 4.551E+02 H2 Lyman  0- 6 P( 3)
  1462.847 0.0000698  0.1020 5.356E+02 H2 Lyman  4- 8 P( 1)
  1461.967 0.0000642  0.0939 4.181E+02 H2 Lyman  6- 9 P( 1)
  1461.764 0.0000503  0.0735 1.107E+02 H2 Lyman  4- 8 R( 2)
  1461.185 0.0000550  0.0803 1.696E+02 H2 Lyman  2- 7 P( 1)
  1460.909 0.0000507  0.0741 1.232E+02 H2 Lyman  6- 9 R( 2)
  1460.768 0.0000814  0.1189 9.259E+02 H2 Lyman  4- 8 R( 1)
  1460.614 0.0000649  0.0947 4.010E+02 H2 Lyman  4- 8 R( 0)
  1460.172 0.0000815  0.1190 7.391E+02 H2 Lyman  0- 6 P( 2)
  1460.043 0.0000757  0.1105 7.957E+02 H2 Lyman  6- 9 R( 1)
  1459.925 0.0000589  0.0860 2.816E+02 H2 Lyman  6- 9 R( 0)
  1458.935 0.0000573  0.0835 2.090E+02 H2 Lyman  2- 7 R( 1)
  1458.138 0.0000791  0.1153 6.788E+02 H2 Lyman  0- 6 R( 3)
  1458.124 0.0000517  0.0753 1.456E+02 H2 Lyman  8-10 P( 1)
  1457.441 0.0001407  0.2051 3.194E+03 H2 Lyman  0- 6 P( 1)
  1456.340 0.0000589  0.0858 3.025E+02 H2 Lyman  8-10 R( 1)
  1456.081 0.0000957  0.1393 1.201E+03 H2 Lyman  0- 6 R( 2)
  1454.978 0.0001947  0.2834 6.708E+03 H2 Lyman  0- 6 R( 1)
  1454.836 0.0001288  0.1874 2.590E+03 H2 Lyman  0- 6 R( 0)
  1440.948 0.0000572  0.0824 2.179E+02 H2 Lyman  3- 7 P( 3)
  1438.506 0.0000549  0.0789 2.026E+02 H2 Lyman  7- 9 P( 1)
  1438.021 0.0000719  0.1033 6.370E+02 H2 Lyman  5- 8 P( 1)
  1437.558 0.0000621  0.0892 3.207E+02 H2 Lyman  3- 7 P( 2)
  1437.125 0.0000538  0.0774 1.716E+02 H2 Lyman  5- 8 R( 2)
  1436.715 0.0000651  0.0935 4.679E+02 H2 Lyman  7- 9 R( 1)
  1436.553 0.0000525  0.0754 1.568E+02 H2 Lyman  7- 9 R( 0)
  1436.230 0.0000702  0.1008 4.786E+02 H2 Lyman  1- 6 P( 3)
  1436.125 0.0000604  0.0868 2.865E+02 H2 Lyman  3- 7 R( 3)
  1436.088 0.0000899  0.1291 1.348E+03 H2 Lyman  5- 8 R( 1)
  1435.888 0.0000690  0.0991 5.469E+02 H2 Lyman  5- 8 R( 0)
  1435.050 0.0001005  0.1442 1.665E+03 H2 Lyman  3- 7 P( 1)
  1434.100 0.0000681  0.0977 4.766E+02 H2 Lyman  3- 7 R( 2)
  1432.970 0.0001309  0.1876 3.312E+03 H2 Lyman  3- 7 R( 1)
  1432.747 0.0000914  0.1309 1.273E+03 H2 Lyman  3- 7 R( 0)
  1432.628 0.0000803  0.1150 7.626E+02 H2 Lyman  1- 6 P( 2)
  1431.011 0.0000729  0.1043 5.558E+02 H2 Lyman  1- 6 R( 3)
  1429.960 0.0001362  0.1948 3.220E+03 H2 Lyman  1- 6 P( 1)
  1428.882 0.0000884  0.1263 1.038E+03 H2 Lyman  1- 6 R( 2)
  1427.705 0.0001790  0.2556 6.076E+03 H2 Lyman  1- 6 R( 1)
  1427.491 0.0001216  0.1736 2.450E+03 H2 Lyman  1- 6 R( 0)
  1412.876 0.0000500  0.0707 1.153E+02 H2 Lyman  6- 8 R( 1)
  1410.499 0.0000573  0.0809 2.329E+02 H2 Lyman  4- 7 P( 1)
  1410.364 0.0000530  0.0747 1.427E+02 H2 Lyman  2- 6 P( 3)
  1408.567 0.0000720  0.1014 6.246E+02 H2 Lyman  4- 7 R( 1)
  1408.299 0.0000565  0.0796 2.176E+02 H2 Lyman  4- 7 R( 0)
  1406.825 0.0000585  0.0823 2.374E+02 H2 Lyman  2- 6 P( 2)
  1405.549 0.0000596  0.0838 2.615E+02 H2 Lyman  2- 6 R( 3)
  1404.219 0.0000869  0.1220 1.055E+03 H2 Lyman  2- 6 P( 1)
  1403.372 0.0000677  0.0950 4.490E+02 H2 Lyman  2- 6 R( 2)
  1402.655 0.0001042  0.1462 1.568E+03 H2 Lyman  0- 5 P( 3)
  1402.142 0.0001173  0.1645 2.429E+03 H2 Lyman  2- 6 R( 1)
  1401.871 0.0000828  0.1161 9.096E+02 H2 Lyman  2- 6 R( 0)
  1398.958 0.0001118  0.1564 1.887E+03 H2 Lyman  0- 5 P( 2)
  1397.425 0.0001185  0.1656 2.214E+03 H2 Lyman  0- 5 R( 3)
  1396.229 0.0002095  0.2925 8.161E+03 H2 Lyman  0- 5 P( 1)
  1395.203 0.0001334  0.1861 2.953E+03 H2 Lyman  0- 5 R( 2)
  1394.037 0.0000538  0.0749 1.948E+02 H2 Lyman  9- 9 R( 1)
  1393.968 0.0002930  0.4084 1.674E+04 H2 Lyman  0- 5 R( 1)
  1393.725 0.0002075  0.2893 8.023E+03 H2 Lyman  0- 5 R( 0)
  1392.699 0.0000531  0.0740 1.718E+02 H2 Lyman  7- 8 P( 1)
  1391.020 0.0000573  0.0798 2.631E+02 H2 Lyman  7- 8 R( 1)
  1390.743 0.0000500  0.0695 1.187E+02 H2 Lyman  7- 8 R( 0)
  1387.404 0.0000583  0.0809 2.659E+02 H2 Lyman  5- 7 P( 1)
  1385.605 0.0000633  0.0877 3.944E+02 H2 Lyman  5- 7 R( 1)
  1385.299 0.0000535  0.0741 1.686E+02 H2 Lyman  5- 7 R( 0)
  1380.066 0.0000644  0.0889 3.884E+02 H2 Lyman  3- 6 P( 1)
  1378.142 0.0000709  0.0977 5.723E+02 H2 Lyman  3- 6 R( 1)
  1377.825 0.0000586  0.0808 2.540E+02 H2 Lyman  3- 6 R( 0)
  1377.291 0.0000534  0.0735 1.446E+02 H2 Lyman  1- 5 P( 3)
  1375.977 0.0000543  0.0748 2.145E+02 H2 Lyman 10- 9 P( 1)
  1375.779 0.0000515  0.0709 1.616E+02 H2 Lyman 12-10 R( 1)
  1374.485 0.0000615  0.0845 4.169E+02 H2 Lyman 10- 9 R( 1)
  1374.240 0.0000511  0.0702 1.469E+02 H2 Lyman 10- 9 R( 0)
  1373.655 0.0000548  0.0753 1.673E+02 H2 Lyman  1- 5 P( 2)
  1371.986 0.0000621  0.0852 4.069E+02 H2 Lyman  8- 8 P( 1)
  1370.987 0.0000767  0.1052 6.819E+02 H2 Lyman  1- 5 P( 1)
  1370.406 0.0000725  0.0994 7.854E+02 H2 Lyman  8- 8 R( 1)
  1370.211 0.0000539  0.0739 1.536E+02 H2 Lyman  1- 5 R( 2)
