element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 22.0, 21.80, 22.10, 20., 15.0, 40.0, 0.0, -100, 100
FeII, 0, 18.0, 17.0, 20.0, 20., 0.0, 40.0, 0.0, -100, 100
