y_fit, y_min, y_max, y_min2, y_max2
0.672961603848, 0.664494668947, 0.681566077297, 0.664494668947, 0.681566077297
0.909922750624, 0.898474464979, 0.921557004548, 0.898474464979, 0.921557004548
0.997534359824, 0.984983779867, 1.01028881409, 0.984983779867, 1.01028881409
1.01417334036, 1.00141341546, 1.0271405404, 1.00141341546, 1.0271405404
1.01579053539, 1.00301026367, 1.02877841296, 1.00301026367, 1.02877841296
1.01587063168, 1.00308935231, 1.02885953348, 1.00308935231, 1.02885953348
1.01587063, 1.00308935077, 1.02885953192, 1.00308935077, 1.02885953192
1.01587062819, 1.00308934909, 1.02885953022, 1.00308934909, 1.02885953022
1.0158706262, 1.00308934725, 1.02885952837, 1.00308934725, 1.02885952837
1.01587062404, 1.00308934525, 1.02885952634, 1.00308934525, 1.02885952634
1.01587062167, 1.00308934306, 1.02885952413, 1.00308934306, 1.02885952413
1.01587061906, 1.00308934065, 1.02885952169, 1.00308934065, 1.02885952169
1.01587061619, 1.003089338, 1.02885951901, 1.003089338, 1.02885951901
1.01587061301, 1.00308933507, 1.02885951604, 1.00308933507, 1.02885951604
1.01587060948, 1.00308933181, 1.02885951275, 1.00308933181, 1.02885951275
1.01587060556, 1.00308932819, 1.02885950908, 1.00308932819, 1.02885950908
1.01587060116, 1.00308932414, 1.02885950498, 1.00308932414, 1.02885950498
1.01587059623, 1.00308931959, 1.02885950038, 1.00308931959, 1.02885950038
1.01587059066, 1.00308931446, 1.02885949518, 1.00308931446, 1.02885949518
1.01587058434, 1.00308930864, 1.02885948928, 1.00308930864, 1.02885948928
1.01587057712, 1.003089302, 1.02885948255, 1.003089302, 1.02885948255
1.01587056884, 1.00308929438, 1.02885947482, 1.00308929438, 1.02885947482
1.01587055927, 1.00308928558, 1.0288594659, 1.00308928558, 1.0288594659
1.01587054812, 1.00308927534, 1.0288594555, 1.00308927534, 1.0288594555
1.01587053502, 1.00308926332, 1.02885944329, 1.00308926332, 1.02885944329
1.01587051949, 1.00308924907, 1.02885942882, 1.00308924907, 1.02885942882
1.01587050089, 1.00308923202, 1.02885941149, 1.00308923202, 1.02885941149
1.01587047831, 1.00308921136, 1.02885939048, 1.00308921136, 1.02885939048
1.01587045056, 1.00308918598, 1.02885936465, 1.00308918598, 1.02885936465
1.01587041586, 1.00308915431, 1.02885933239, 1.00308915431, 1.02885933239
1.01587037166, 1.00308911403, 1.02885929133, 1.00308911403, 1.02885929133
1.01587031405, 1.00308906162, 1.02885923788, 1.00308906162, 1.02885923788
1.01587023679, 1.0030889915, 1.02885916631, 1.0030889915, 1.02885916631
1.01587012915, 1.00308889406, 1.02885906703, 1.00308889406, 1.02885906703
1.01586992477, 1.00308870506, 1.0288589128, 1.00308870506, 1.0288589128
1.01586655011, 1.0030855766, 1.02885730874, 1.0030855766, 1.02885730874
1.01579048253, 1.00301724987, 1.02881007125, 1.00301724987, 1.02881007125
1.01481725232, 1.0021135673, 1.02779564951, 1.0021135673, 1.02779564951
1.00724737869, 0.994353250388, 1.02014047578, 0.994353250388, 1.02014047578
0.971780270527, 0.952981011945, 0.98739166886, 0.952981011945, 0.98739166886
0.874256888176, 0.837663254124, 0.903730532791, 0.837663254124, 0.903730532791
0.726473020529, 0.675794501077, 0.774988738517, 0.675794501077, 0.774988738517
0.634917338017, 0.572776829057, 0.694826500614, 0.572776829057, 0.694826500614
0.691417746807, 0.632982133445, 0.747999542577, 0.632982133445, 0.747999542577
0.838007373865, 0.800345453331, 0.879234505695, 0.800345453331, 0.879234505695
0.953788446449, 0.934800549548, 0.975030883347, 0.934800549548, 0.975030883347
1.00220220065, 0.989350703242, 1.0156965291, 0.989350703242, 1.0156965291
1.01398312763, 1.00135943476, 1.02687863272, 1.00135943476, 1.02687863272
1.01570820083, 1.00287964129, 1.02873228436, 1.00287964129, 1.02873228436
1.01586182966, 1.00307436282, 1.02885434214, 1.00307436282, 1.02885434214
1.01586976587, 1.00308829742, 1.02885882146, 1.00308829742, 1.02885882146
1.01587009382, 1.00308883305, 1.02885903154, 1.00308883305, 1.02885903154
1.01587021256, 1.00308895088, 1.02885914146, 1.00308895088, 1.02885914146
1.01587029634, 1.00308903198, 1.02885921969, 1.00308903198, 1.02885921969
1.0158703583, 1.00308909168, 1.02885927759, 1.00308909168, 1.02885927759
1.01587040551, 1.00308913701, 1.02885932174, 1.00308913701, 1.02885932174
1.01587044236, 1.0030891723, 1.02885935621, 1.0030891723, 1.02885935621
1.01587047172, 1.00308920035, 1.02885938368, 1.00308920035, 1.02885938368
1.01587049549, 1.00308922302, 1.02885940593, 1.00308922302, 1.02885940593
1.01587051502, 1.00308924161, 1.02885942421, 1.00308924161, 1.02885942421
1.01587053128, 1.00308925707, 1.02885943943, 1.00308925707, 1.02885943943
1.01587054495, 1.00308927005, 1.02885945223, 1.00308927005, 1.02885945223
1.01587055656, 1.00308928106, 1.0288594631, 1.00308928106, 1.0288594631
1.01587056651, 1.00308929049, 1.02885947242, 1.00308929049, 1.02885947242
1.0158705751, 1.00308929863, 1.02885948046, 1.00308929863, 1.02885948046
1.01587058257, 1.00308930569, 1.02885948745, 1.00308930569, 1.02885948745
