H2J7  1151.6383790 0.000729867 1.868E9  2.01588 -0.03451983  ! L  0 P(7)   2 
H2J7  1134.8964860 0.002568610 1.741E9  2.01588 -0.02735538  ! L  1 P(7)   2 
H2J6  1131.7536180 0.000748072 1.868E9  2.01588 -0.02857077  ! L  0 P(6)   2 
H2J6  1125.7267470 0.000656326 1.868E9  2.01588 -0.02362649  ! L  0 R(6)   2 
H2J5  1125.540690 0.000757692 1.868E9  2.01588 -0.02329085  ! L  0 P(5)   2 
H2J5  1120.400623 0.000715714 1.868E9  2.01588 -0.01895450  ! L  0 R(5)   2 w: B10 
H2J4  1120.248839 0.000755955 1.868E9  2.01588 -0.01872438  ! L  0 P(4)   2 B10 
H2J7  1119.0297010 0.005176020 1.632E9  2.01588 -0.02071215  ! L  2 P(7)   2 
H2J4  1116.014618 0.000777988 1.868E9  2.01588 -0.01507444  ! L  0 R(4)   2 B10
H2J3  1115.895530 0.000738064 1.868E9  2.01588 -0.01491660  ! L  0 P(3)   1b B10
H2J6  1115.4563840 0.002604310 1.741E9  2.01588 -0.02141170  ! L  1 P(6)   2 
H2J3  1112.583944 0.000846784 1.868E9  2.01588 -0.01201537  ! L  0 R(3)   2 B10 
H2J2  1112.495989 0.000691459 1.868E9  2.01588 -0.01190946  ! L  0 P(2)   1b B10
H2J2  1110.120562 0.000932201 1.868E9  2.01588 -0.00980419  ! L  0 R(2)   2 B10
H2J1  1110.062558 0.000573914 1.868E9  2.01588 -0.00973852  ! L  0 P(1)   1a B10
H2J6  1109.8617270 0.002505800 1.741E9  2.01588 -0.01681549  ! L  1 R(6)   2 
H2J5  1109.313238 0.002615850 1.741E9  2.01588 -0.01612812  ! L  1 P(5)   1b B10
H2J1  1108.633244 0.001077000 1.868E9  2.01588 -0.00846231  ! L  0 R(1)   1a B10
H2J0  1108.1273169 0.001664570 1.868E9  2.01588 -0.00800319  ! L  0 R(0)   1a B10
H2J5  1104.548705 0.002676060 1.741E9  2.01588 -0.01212508  ! L  1 R(5)   2 B10
H2J4  1104.083933 0.002595470 1.741E9  2.01588 -0.01155644  ! L  1 P(4)   1b B10
H2J7  1103.9822930 0.007843250 1.536E9  2.01588 -0.01457227  ! L  3 P(7)   2 
H2J4  1100.164528 0.002854300 1.741E9  2.01588 -0.00820532  ! L  1 R(4)   2 B10
H2J6  1100.0199850 0.005209740 1.632E9  2.01588 -0.01478632  ! L  2 P(6)   1b
H2J3  1099.787177 0.002525690 1.741E9  2.01588 -0.00774742  ! L  1 P(3)   1a B10
H2J3  1096.725316 0.003055710 1.741E9  2.01588 -0.00509470  ! L  1 R(3)   1a B10
H2J2  1096.438914 0.002367130 1.741E9  2.01588 -0.00474693  ! L  1 P(2)   1a B10
H2J6  1094.7991630 0.005463250 1.632E9  2.01588 -0.01049178  ! L  2 R(6)   2 
H2J2  1094.244560 0.003314800 1.741E9  2.01588 -0.00282772  ! L  1 R(2)   1a B10
H2J1  1094.051949 0.001968520 1.741E9  2.01588 -0.00259287  ! L  1 P(1)   1a B10
H2J5  1093.954976 0.005206730 1.632E9  2.01588 -0.00951288  ! L  2 P(5)   1b B10
H2J1  1092.732382 0.003780150 1.741E9  2.01588 -0.00143170  ! L  1 R(1)   1a B10
H2J0  1092.195201 0.005783580 1.741E9  2.01588 -0.00092454  ! L  1 R(0)   1a B10
H2J7  1089.7064550 0.009941490 1.450E9  2.01588 -0.00891760  ! L  4 P(7)   2 
H2J5  1089.5131950 0.005739510 1.632E9  2.01588 -0.00579408  ! L  2 R(5)   2 
H2J4  1088.7953620 0.005150460 1.632E9  2.01588 -0.00494895  ! L  2 P(4)   1b
H2J6  1085.3844370 0.007860600 1.536E9  2.01588 -0.00866755  ! L  3 P(6)   2 
H2J4  1085.1455400 0.006030640 1.632E9  2.01588 -0.00184988  ! L  2 R(4)   1a
H2J3  1084.5603450 0.005009460 1.632E9  2.01588 -0.00114925  ! L  2 P(3)   1b
H2J3  1081.7112430 0.006362470 1.632E9  2.01588  0.00129543  ! L  2 R(3)   1a
H2J2  1081.2660350 0.004699830 1.632E9  2.01588  0.00183764  ! L  2 P(2)   1b
H2J6  1080.4947640 0.008954520 1.536E9  2.01588 -0.00464885  ! L  3 R(6)   2 
H2J5  1079.4004060 0.007834460 1.536E9  2.01588 -0.00340979  ! L  3 P(5)   1b
H2J2  1079.2254200 0.006817990 1.632E9  2.01588  0.00360188  ! L  2 R(2)   1a
H2J1  1078.9254700 0.003922570 1.632E9  2.01588  0.00397218  ! L  2 P(1)   1a
H2J1  1077.6989360 0.007693240 1.632E9  2.01588  0.00503784  ! L  2 R(1)   1a
H2J0  1077.1387420 0.011667900 1.632E9  2.01588  0.00558220  ! L  2 R(0)   1a
H2J7  1076.1556270 0.011121900 1.370E9  2.01588 -0.00372739  ! L  5 P(7)   2 
H2J5  1075.2440630 0.009281420 1.536E9  2.01588  0.00005478  ! L  3 R(5)   2 
H2J4  1074.3129510 0.007743580 1.536E9  2.01588  0.00114033  ! L  3 P(4)   1b
H2J6  1071.4988230 0.009938600 1.450E9  2.01588 -0.00303240  ! L  4 P(6)   2 
H2J4  1070.9005450 0.009626390 1.536E9  2.01588  0.00401739  ! L  3 R(4)   2 
H2J3  1070.1408800 0.007538280 1.536E9  2.01588  0.00492550  ! L  3 P(3)   1b
H2J3  1067.4785540 0.010042100 1.536E9  2.01588  0.00718891  ! L  3 R(3)   1a
H2J6  1066.9070880 0.012302600 1.450E9  2.01588  0.00072530  ! L  4 R(6)   2 
H2J2  1066.9006790 0.007090450 1.536E9  2.01588  0.00789541  ! L  3 P(2)   1a
H2J5  1065.5966180 0.009900060 1.450E9  2.01588  0.00220871  ! L  4 P(5)   1b
H2J2  1064.9948120 0.010648200 1.536E9  2.01588  0.00952560  ! L  3 R(2)   1a
H2J1  1064.6053860 0.005941380 1.536E9  2.01588  0.01000951  ! L  3 P(1)   1a
H2J1  1063.4601440 0.011902400 1.536E9  2.01588  0.01099293  ! L  3 R(1)   1a
H2J7  1063.2888330 0.011307800 1.300E9  2.01588  0.00102254  ! L  6 P(7)   2 
H2J0  1062.8821370 0.017895200 1.536E9  2.01588  0.01156759  ! L  3 R(0)   1a
H2J5  1061.6972330 0.012605900 1.450E9  2.01588  0.00543822  ! L  4 R(5)   2 
H2J4  1060.5810310 0.009793640 1.450E9  2.01588  0.00674295  ! L  4 P(4)   1b
H2J6  1058.3183800 0.011112200 1.370E9  2.01588  0.00214153  ! L  5 P(6)   2 
H2J4  1057.3807430 0.012937200 1.450E9  2.01588  0.00941815  ! L  4 R(4)   2 
H2J3  1056.4714360 0.009555670 1.450E9  2.01588  0.01051153  ! L  4 P(3)   1b
H2J6  1053.9987370 0.015004500 1.370E9  2.01588  0.00564897  ! L  5 R(6)   2 
