# Last updated:  Fri Jun 13 11:05:41 UTC 2014
#
# Atomic data file created from Cedric's fitlyman file augmented with
# modelling data (by Paul) for the relevant resonance and
# fine-structure transitions for the following ions:
#
# - FeII: the atomic data is the same as used in the CLOUDY program, as
#         collected by Verner et al.  1999, ApJS, 120, 101.  It has a
#         total of 371 levels, but for this atomic data file
#         transitions with their lower energy level among the lower 18
#         levels are included.
#
# - FeIII: we adopt the atomic data from Raassen & Uylings, see:
#          http://www.science.uva.nl/research/atom/levels/orth/iron/.
#          These atomic data include 322 energy levels, but in this
#          file we only include the resonance lines and lines from the
#          17th (UV34) and 25th (UV48) excited levels (mainly for space
#          reasons: the default maximum number of entries for this file
#          is 2500 ; see "vp_sizes.f").
#
# - NiII: combination of Quinet et al., Morton et al. and Kurucz
#   	 database (http://kurucz.harvard.edu/atoms.html), see the
#   	 paragraph below from Vreeswijk et al. 2007.  In this data
#   	 file transitions with their lower energy level among the
#   	 lower 6 levels are included.
#
#   "For Ni~II we include the lower 17 energy levels, and take the A's
#   between these from \citet{1996A&AS..119...99Q}, complemented by
#   those from \citet{1982A&A...110..295N}.  For the Ni~II ground state
#   transitions corresponding to Ni~II \l\ 1317 and 1370 we adopt the
#   $f$ values of \citet{2006ApJ...637..548J}, and for Ni~II \l\ 1454,
#   1709, 1741 and 1751 from \citet{2000ApJ...538..773F}. For the other
#   transition probabilities between the lower and higher excited
#   levels of Ni~II we again use the value from
#   \citet{2003ApJS..149..205M} if available, and otherwise those from
#   \citet{2003IAUS..210...45K}. As the ratio of the $f$-values of the
#   Jenkins et al. and Fedchak et al. ground-state lines compared to
#   the Kurucz values varies from 1.87 to 2.59, and we find similar
#   ratios between values of two Morton Ni~II fine-structure lines and
#   those of Kurucz, we have divided all Kurucz Ni~II A's by a factor
#   of two. We stress that although this factor of two results in
#   different inferred column densities, it does not affect the fit
#   results since we use exactly the same oscillator strengths in our
#   model. The number of Ni~II higher excited levels included is 334,
#   with a resulting number of transitions of 3136."
#
# - CrII: atomic data from Quinet 1997, Physica Scripta, 55, 41,
#         supplemented with the Kurucz database
#         (http://kurucz.harvard.edu/atoms.html), with a total of 733
#         levels; for this atomic data file transitions with their
#         lower energy level among the lower 7 levels are included.
# 	  Only the excited-level transitions are added; the resonance
# 	  lines are not.
#
# - HI: All the hydrogen transitions have been replaced as the Gamma's
#       of the Lyman series other than Lyman alpha appear to be
#       incorrect. All transitions between levels up to n=12 are
#       included, i.e. also the Balmer and Paschen series. It is
#       important to note that the average oscillator strength is
#       adopted (i.e. all transitions between shells with the same
#       principle quantum number n but different orbital angular
#       momentum quantum number l are averaged together as a single
#       transition. This average oscillator strength may not be the
#       correct value to use if not all levels in the same lower n
#       shell are more or less equally occupied. See Wiese & Fuhr,
#       2009, Journal of Physical and Chemical Reference Data 38, 565,
#       where they list average values and the values for the
#       multiplets separately.  Another caveat: for the HI Gamma's in
#       this file other than the Lyman series, I'm not completely sure
#       if they are correct; I calculated them assuming they follow the
#       same averaging as is done for the transition probabilities (see
#       Eq. C.1 on page 568 of Wiese & Fuhr).
#
# - HeI: atomic data have been mostly taken from Drake & Morton 2007,
#        APJS, 170, 251, and Cann & Thakkar 2002, Journal of Physics B:
#        Atomic, Molecular and Optical Physics, 35, 421. All
#        transitions with 1.5A of each other are combined into a
#        multiplet transitions (see Eq. B.1 and 2 on page 568 of Wiese
#        & Fuhr). These data are supplemented with a few values taken
#        from Drake et al. 1969 (ApJ, 158, 1199), 1971 (Physical Review
#        A, 3, 908) and Kundu et al. 1989 (Physica Scripta, 39, 722).
#	
# The excited levels are indicated with letters after the ionization
# state; e.g. the 1st and 2nd excited level of NiII are NiIIa and
# NiIIb, etc. Note that the atomic data for the CI, CII, OI, SIV and
# SiII atoms, which also have fine-structure transitions, the values in
# Cedric's file have not been changed (however: the SIV1s lines at 1072
# and 1073 have zero oscillator strenghts!).
# Molecules still from the old vpfit file: TK29/06/2014
#
# ??    1215.6701 0.416400  6.265E8  1.00 No ID NOTE:DON'T USE TABS AS SEPARATORS
# >>    1215.6701 0.416400  6.265E8  1.00
# <<    1215.6701 0.416400  6.265E8  1.00 
# <>    1215.6701 0.416400  6.265E8  1.00 
# __    1215.6701 0.416400  6.265E8  1.00
CIIa    1335.6627  0.01280000  2.880e+08  12.0107
CIIa    1335.7077  0.11500000  2.880e+08  12.0107
CIV     1548.2040  0.18990000  2.643e+08  12.0107
CIV     1550.7810  0.09475000  2.628e+08  12.0107
CIa     1276.7498  0.00252000  8.790e+07  12.0107
CIa     1277.2823  0.07060000  2.589e+08  12.0107
CIa     1277.5130  0.02230000  2.590e+08  12.0107
CIa     1279.8904  0.01260000  1.143e+08  12.0107
CIa     1280.4042  0.00426000  1.063e+08  12.0107
CIa     1280.5970  0.00674000  1.047e+08  12.0107
CIa     1329.0853  0.02130000  2.203e+08  12.0107
CIa     1329.1004  0.02600000  2.202e+08  12.0107
CIa     1329.1233  0.01600000  2.203e+08  12.0107
CIa     1560.6822  0.05390000  1.321e+08  12.0107
CIa     1560.7090  0.01800000  1.321e+08  12.0107
CIa     1656.2672  0.05890000  3.415e+08  12.0107
CIa     1657.3792  0.03560000  3.410e+08  12.0107
CIa     1657.9068  0.04730000  3.408e+08  12.0107
CIb     1277.5496  0.07920000  2.589e+08  12.0107
CIb     1277.7229  0.01550000  2.589e+08  12.0107
CIb     1279.2286  0.00378000  1.100e+07  12.0107
CIb     1280.3328  0.01420000  1.143e+08  12.0107
CIb     1280.8470  0.00491000  1.063e+08  12.0107
CIb     1329.5775  0.04760000  2.202e+08  12.0107
CIb     1329.6005  0.01590000  2.203e+08  12.0107
CIb     1561.3402  0.01080000  1.321e+08  12.0107
CIb     1561.4384  0.06030000  1.319e+08  12.0107
CIb     1657.0082  0.10400000  3.415e+08  12.0107
CIb     1658.1212  0.03560000  3.410e+08  12.0107
CH      3879.8670  0.00107000  3.050e+06  13.0186
CH      3887.5020  0.00213000  3.050e+06  13.0186
CH      3887.5080  0.00107000  3.050e+06  13.0186
CH      3891.3130  0.00213000  3.050e+06  13.0186
CH      4301.5090  0.00506000  1.866e+06  13.0186
CH      4301.5290  0.00506000  1.866e+06  13.0186
CH+     3956.5990  0.00331000  0.000e+00  13.0186
CH+     3958.8060  0.00331000  0.000e+00  13.0186
CH+     3963.1860  0.00331000  0.000e+00  13.0186
CH+     4230.5340  0.00545000  0.000e+00  13.0186
CH+     4233.7350  0.00545000  0.000e+00  13.0186
CH+     4238.7490  0.00545000  0.000e+00  13.0186
NI       951.0791  0.00012900  1.830e+08  14.0067
NI       951.2947  0.00001810  1.870e+08  14.0067
NI       952.3034  0.00176000  4.510e+07  14.0067
NI       952.4148  0.00156000  4.920e+07  14.0067
NI       952.5227  0.00041700  3.670e+07  14.0067
NI       953.4152  0.01060000  1.914e+08  14.0067
NI       953.6549  0.02030000  1.861e+08  14.0067
NI       953.9699  0.03310000  2.030e+08  14.0067
NI       954.1042  0.00442000  1.880e+08  14.0067
NI       955.2643  0.00005020  4.050e+07  14.0067
NI       955.4370  0.00000116  5.520e+07  14.0067
NI       955.5292  0.00001730  1.650e+08  14.0067
NI       955.8814  0.00005870  1.680e+08  14.0067
NI       959.4936  0.00001610  1.400e+08  14.0067
NI       960.2010  0.00000361  1.670e+08  14.0067
NI       963.9903  0.01240000  8.550e+07  14.0067
NI       964.6256  0.00790000  8.310e+07  14.0067
NI       965.0413  0.00580100  1.080e+08  14.0067
NI      1134.1653  0.01460000  1.510e+08  14.0067
NI      1134.4149  0.02870000  1.490e+08  14.0067
NI      1134.9803  0.04160000  1.440e+08  14.0067
NI      1159.8170  0.00000851  8.000e+08  14.0067
NI      1160.9370  0.00000241  7.000e+08  14.0067
NI      1199.5496  0.13200000  4.070e+08  14.0067
NI      1200.2233  0.08690000  4.020e+08  14.0067
NI      1200.7098  0.04320000  4.000e+08  14.0067
NII      915.6120  0.14490000  1.151e+09  14.0067
NII     1083.9900  0.10310000  3.508e+08  14.0067
NIII     989.7990  0.10660000  4.352e+08  14.0067
NIII    1748.6460  0.00000016  7.030e+02  14.0067
NIV     1486.4960  0.00000057  5.773e+02  14.0067
NV      1238.8210  0.15630000  3.400e+08  14.0067
NV      1242.8040  0.07783000  3.360e+08  14.0067
OI       919.9170  0.00017700  2.330e+06  15.9994
OI       922.2000  0.00024500  3.210e+06  15.9994
OI       925.4460  0.00035400  4.600e+06  15.9994
OI       930.2566  0.00053700  6.900e+06  15.9994
